"GEO_ID","NAME","B25077_001E","B25077_001M",
"Geography","Geographic Area Name","Estimate!!Median value (dollars)","Margin of Error!!Median value (dollars)",
"1400000US19099040800","Census Tract 408; Jasper County; Iowa","237900","21639",
"1400000US19099040900","Census Tract 409; Jasper County; Iowa","192600","29039",
"1400000US19099980000","Census Tract 9800; Jasper County; Iowa","-","**",
"1400000US19101090100","Census Tract 901; Jefferson County; Iowa","195900","50082",
"1400000US19101090200","Census Tract 902; Jefferson County; Iowa","163200","15042",
"1400000US19101090301","Census Tract 903.01; Jefferson County; Iowa","120800","54920",
"1400000US19101090302","Census Tract 903.02; Jefferson County; Iowa","131300","36244",
"1400000US19101090400","Census Tract 904; Jefferson County; Iowa","167700","13615",
"1400000US19103000100","Census Tract 1; Johnson County; Iowa","368500","40173",
"1400000US19103000200","Census Tract 2; Johnson County; Iowa","246200","53002",
"1400000US19103000303","Census Tract 3.03; Johnson County; Iowa","149700","62173",
"1400000US19103000304","Census Tract 3.04; Johnson County; Iowa","232800","15022",
"1400000US19103000305","Census Tract 3.05; Johnson County; Iowa","313800","35808",
"1400000US19103000306","Census Tract 3.06; Johnson County; Iowa","406900","53085",
"1400000US19103000307","Census Tract 3.07; Johnson County; Iowa","251200","34821",
"1400000US19103000401","Census Tract 4.01; Johnson County; Iowa","265600","26271",
"1400000US19103000402","Census Tract 4.02; Johnson County; Iowa","471300","27277",
"1400000US19103000501","Census Tract 5.01; Johnson County; Iowa","304700","28530",
"1400000US19103000502","Census Tract 5.02; Johnson County; Iowa","387700","33188",
"1400000US19103000600","Census Tract 6; Johnson County; Iowa","294900","69058",
"1400000US19103001100","Census Tract 11; Johnson County; Iowa","338100","41412",
"1400000US19103001200","Census Tract 12; Johnson County; Iowa","340700","24732",
"1400000US19103001300","Census Tract 13; Johnson County; Iowa","300000","20150",
"1400000US19103001400","Census Tract 14; Johnson County; Iowa","251800","16267",
"1400000US19103001500","Census Tract 15; Johnson County; Iowa","245200","19449",
"1400000US19103001601","Census Tract 16.01; Johnson County; Iowa","-","**",
"1400000US19103001602","Census Tract 16.02; Johnson County; Iowa","303900","108469",
"1400000US19103001700","Census Tract 17; Johnson County; Iowa","188900","19408",
"1400000US19103001801","Census Tract 18.01; Johnson County; Iowa","176600","47419",
"1400000US19103001802","Census Tract 18.02; Johnson County; Iowa","232500","22398",
"1400000US19103002100","Census Tract 21; Johnson County; Iowa","661800","140590",
"1400000US19103002300","Census Tract 23; Johnson County; Iowa","541900","77270",
"1400000US19103010100","Census Tract 101; Johnson County; Iowa","406200","31187",
"1400000US19103010200","Census Tract 102; Johnson County; Iowa","401600","29024",
"1400000US19103010303","Census Tract 103.03; Johnson County; Iowa","343400","20954",
"1400000US19103010304","Census Tract 103.04; Johnson County; Iowa","282100","48289",
"1400000US19103010305","Census Tract 103.05; Johnson County; Iowa","254700","28952",
"1400000US19103010306","Census Tract 103.06; Johnson County; Iowa","425700","28978",
"1400000US19103010307","Census Tract 103.07; Johnson County; Iowa","390300","37483",
